plate_number,well_row,well_column,marker_symbol,mgi_gene_id,entrez_id,gene_product
1,A,1,Cnpy2,MGI:1928477,56530,canopy FGF signaling regulator 2
1,A,3,Cnpy2,MGI:1928477,56530,canopy FGF signaling regulator 2
1,A,5,OMIT,,,
1,A,7,OMIT,,,
1,A,9,Capn2,MGI:88264,12334,calpain 2
1,A,11,Capn2,MGI:88264,12334,calpain 2
1,A,13,Cab39,MGI:107438,12283,calcium binding protein 39
1,A,15,Cab39,MGI:107438,12283,calcium binding protein 39
1,A,17,1700025G04Rik,MGI:1916649,69399,RIKEN cDNA 1700025G04 gene
1,A,19,1700025G04Rik,MGI:1916649,69399,RIKEN cDNA 1700025G04 gene
1,A,21,Neurod4,MGI:108055,11923,neurogenic differentiation 4
1,A,23,Neurod4,MGI:108055,11923,neurogenic differentiation 4
1,C,1,Prex2,MGI:1923385,109294,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
1,C,3,Prex2,MGI:1923385,109294,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
1,C,5,Mdm2,MGI:96952,17246,MDM2 proto-oncogene
1,C,7,Mdm2,MGI:96952,17246,MDM2 proto-oncogene
1,C,9,Raph1,MGI:1924550,77300,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
1,C,11,Raph1,MGI:1924550,77300,Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
1,C,13,Arpc5,MGI:1915021,67771,"actin related protein 2/3 complex, subunit 5"
1,C,15,Arpc5,MGI:1915021,67771,"actin related protein 2/3 complex, subunit 5"
1,C,17,Unc50,MGI:1914637,67387,unc-50 homolog
1,C,19,Unc50,MGI:1914637,67387,unc-50 homolog
1,C,21,Lats1,MGI:1333883,16798,large tumor suppressor
1,C,23,Lats1,MGI:1333883,16798,large tumor suppressor
1,E,1,Timm17a,MGI:1343131,21854,translocase of inner mitochondrial membrane 17a
1,E,3,Timm17a,MGI:1343131,21854,translocase of inner mitochondrial membrane 17a
1,E,5,Dst,MGI:104627,13518,dystonin
1,E,7,Dst,MGI:104627,13518,dystonin
